epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.11479,2.84915,7.19527,3.99983,2.91563,0.00133,0.4,0.00475,0.0017,0.00133,0.4,0.00368,0.00165,2.88803,5.02369,4.11971,3.14523,2e-05,2e-05,2e-05
2,8.37575,2.6321,7.35157,3.74863,2.65231,0.00267,0.8,0.00685,0.00202,0.00133,0.4,0.00254,0.00049,2.80933,5.0011,4.15483,3.13694,5.9406e-05,5.9406e-05,5.9406e-05
3,9.44854,2.5544,6.75617,4.0996,2.57828,0.00267,0.8,0.00423,0.00117,0.00067,0.2,0.0006,0.00014,2.72115,4.98456,4.26518,3.11855,9.802e-05,9.802e-05,9.802e-05
4,10.6389,2.3999,6.2551,4.04336,2.60795,0.00233,0.7,0.00519,0.00213,0.00133,0.4,0.00322,0.00074,2.57585,4.58851,4.0234,2.98233,0.000135842,0.000135842,0.000135842
5,11.9449,2.58807,5.87389,3.91944,2.47341,0.00267,0.8,0.00873,0.00194,0.00133,0.4,0.00472,0.00071,2.32607,4.67996,3.84664,2.79032,0.000172872,0.000172872,0.000172872
6,13.2575,2.51232,5.16362,3.88603,2.58682,0.00233,0.7,0.03175,0.01065,0.00167,0.5,0.03584,0.00425,2.16157,4.33009,3.82465,2.77564,0.00020911,0.00020911,0.00020911
7,14.6043,2.23121,4.6411,3.67246,2.30549,0.00233,0.7,0.00951,0.00328,0.00133,0.4,0.03154,0.00729,2.2443,4.71283,3.88203,2.84488,0.000244556,0.000244556,0.000244556
8,15.9118,2.13981,3.76863,3.64221,2.30024,0.003,0.9,0.01148,0.0022,0.00167,0.5,0.03349,0.00607,2.46294,5.03998,3.87154,3.13926,0.00027921,0.00027921,0.00027921
9,17.1891,2.19653,3.89266,3.69598,2.25858,0.003,0.9,0.00573,0.00156,0.003,0.9,0.02241,0.00301,2.45834,5.00224,3.86168,3.18437,0.000313072,0.000313072,0.000313072
10,18.4629,1.86479,3.67751,3.43326,2.0652,0.00333,1,0.01253,0.00243,0.003,0.9,0.02008,0.00476,2.64161,4.66819,3.86078,3.31445,0.000346142,0.000346142,0.000346142
11,19.7721,1.82139,3.69402,3.34812,1.95179,0.00333,1,0.01162,0.00288,0.003,0.9,0.01793,0.0036,2.65046,5.09009,3.97664,3.06823,0.00037842,0.00037842,0.00037842
12,21.0656,1.43757,3.08643,3.11586,1.70254,0.00333,1,0.01128,0.00288,0.00267,0.8,0.00797,0.00125,2.66352,5.63869,3.86403,3.04715,0.000409906,0.000409906,0.000409906
13,22.5724,1.5318,2.98222,3.10795,1.6216,0.00333,1,0.0127,0.00286,0.002,0.6,0.00302,0.00075,2.55247,6.19375,3.88505,2.82774,0.0004406,0.0004406,0.0004406
14,23.9183,1.43822,3.23998,3.14542,1.57391,0.00333,1,0.02124,0.00675,0.002,0.6,0.00332,0.00064,2.15541,6.73261,3.64669,2.40754,0.000470502,0.000470502,0.000470502
15,25.2864,1.52171,3.08904,2.94106,1.5884,0.00333,1,0.06644,0.01834,0.00233,0.7,0.01767,0.00371,2.00046,6.10402,3.61352,2.24812,0.000499612,0.000499612,0.000499612
16,26.5974,1.57663,3.1172,3.02776,1.5632,0.00333,1,0.11363,0.05041,0.003,0.9,0.08018,0.01447,1.89442,4.71555,3.53993,2.22808,0.00052793,0.00052793,0.00052793
17,27.88,1.05864,2.75064,2.58822,1.27874,0.00333,1,0.2141,0.09368,0.003,0.9,0.12036,0.05255,1.79107,4.37909,3.49526,2.19727,0.000555456,0.000555456,0.000555456
18,29.1773,1.23222,2.62123,2.54126,1.3415,0.00333,1,0.13798,0.06291,0.00333,1,0.12004,0.05412,1.85613,4.08563,3.54217,2.33052,0.00058219,0.00058219,0.00058219
19,30.5463,1.4645,3.29452,2.66056,1.59582,0.00333,1,0.16293,0.06651,0.00233,0.7,0.09815,0.03428,1.80433,5.38753,3.41947,2.45292,0.000608132,0.000608132,0.000608132
20,32.231,1.28903,2.68854,2.53378,1.43349,0.00333,1,0.14223,0.08815,0.001,0.3,0.09579,0.03899,1.99538,6.9982,3.475,2.58052,0.000633282,0.000633282,0.000633282
21,33.8536,1.51995,3.12799,2.2796,1.49202,0.2656,0.1,0.1482,0.09233,0.001,0.3,0.02027,0.00826,1.82997,8.22218,3.52815,2.41765,0.00065764,0.00065764,0.00065764
22,35.1471,1.28489,2.52813,2.10343,1.37088,0.63281,0.1,0.20789,0.1245,0.00167,0.5,0.01565,0.0038,1.7117,8.76315,3.40504,2.36313,0.000681206,0.000681206,0.000681206
23,36.4285,1.27531,2.77544,1.99231,1.39492,0.51262,0.1,0.23161,0.1457,0.85745,0.1,0.12938,0.05793,1.80461,7.86064,3.20445,2.26636,0.00070398,0.00070398,0.00070398
24,37.7254,1.6432,2.98115,2.19217,1.56635,0.46959,0.26959,0.24653,0.13588,0.49444,0.29444,0.22677,0.06395,1.95706,7.40834,3.14287,2.33985,0.000725962,0.000725962,0.000725962
25,39.002,1.32049,2.83244,2.15764,1.35294,0.42827,0.2,0.2576,0.15213,0.93447,0.1,0.13915,0.04731,1.84876,7.94322,3.17892,2.17914,0.000747152,0.000747152,0.000747152
26,40.3207,1.45252,2.94636,2.04738,1.45146,0.49719,0.39607,0.27232,0.10948,0.26624,0.2,0.1507,0.04854,2.13139,9.81342,3.2176,2.603,0.00076755,0.00076755,0.00076755
27,41.593,1.34779,3.08183,2.02607,1.34603,0.45067,0.3,0.24755,0.13337,0.77508,0.1,0.11972,0.03639,2.14202,13.2505,3.0183,2.48856,0.000787156,0.000787156,0.000787156
28,42.8404,1.14534,2.48839,1.70309,1.21802,0.45067,0.3,0.24755,0.13337,0.77508,0.1,0.11972,0.03639,2.14202,13.2505,3.0183,2.48856,0.00080597,0.00080597,0.00080597
29,44.0969,1.59327,2.71682,2.27046,1.52317,0.3437,0.4,0.36374,0.16924,0.96995,0.2,0.21152,0.0627,1.93821,12.6935,2.93545,2.18586,0.000823992,0.000823992,0.000823992
30,45.3816,1.47561,2.62831,2.16566,1.38122,0.44848,0.2,0.24706,0.09724,0.44848,0.2,0.14551,0.04213,2.098,12.5417,3.18114,2.48846,0.000841222,0.000841222,0.000841222
31,46.6405,1.25604,2.59211,1.88962,1.26526,0.44848,0.2,0.24706,0.09724,0.44848,0.2,0.14551,0.04213,2.098,12.5417,3.18114,2.48846,0.00085766,0.00085766,0.00085766
32,48.0222,1.51929,2.63441,1.92428,1.46805,0.37878,0.2,0.19956,0.07966,0.37878,0.2,0.13574,0.05662,2.03694,12.5055,3.24173,2.57578,0.000873306,0.000873306,0.000873306
33,49.3002,1.20761,2.67134,1.85156,1.2695,0.73258,0.1,0.14679,0.06154,0.73258,0.1,0.09515,0.04758,2.23982,12.6929,3.25841,2.8836,0.00088816,0.00088816,0.00088816
34,50.5407,1.17667,2.52019,1.83425,1.21076,0.73258,0.1,0.14679,0.06154,0.73258,0.1,0.09515,0.04758,2.23982,12.6929,3.25841,2.8836,0.000902222,0.000902222,0.000902222
35,51.7949,1.2853,2.52857,1.78127,1.31621,0.59661,0.2,0.21284,0.08531,0.94795,0.1,0.09515,0.04758,2.00556,12.5377,3.16477,2.68558,0.000915492,0.000915492,0.000915492
36,53.0686,1.07163,2.48403,1.61034,1.18202,0.66637,0.39956,0.37023,0.16547,0.94671,0.1,0.12223,0.05037,1.99486,12.1491,2.90443,2.6857,0.00092797,0.00092797,0.00092797
37,54.3458,1.00714,2.20214,1.60674,1.14496,0.66637,0.39956,0.37023,0.16547,0.94671,0.1,0.12223,0.05037,1.99486,12.1491,2.90443,2.6857,0.000939656,0.000939656,0.000939656
38,56.2807,1.31477,2.37534,1.69919,1.28926,0.88341,0.3,0.37847,0.18403,0.9464,0.1,0.12402,0.05191,1.69146,9.14303,2.83438,2.21065,0.00095055,0.00095055,0.00095055
39,57.7311,1.28063,2.25376,2.09134,1.37853,0.56821,0.4,0.36069,0.20085,0.73092,0.1,0.10521,0.04931,1.58895,8.89335,2.9959,2.0355,0.000960652,0.000960652,0.000960652
40,59.1426,1.20073,2.44452,1.61889,1.295,0.56821,0.4,0.36069,0.20085,0.73092,0.1,0.10521,0.04931,1.58895,8.89335,2.9959,2.0355,0.000969962,0.000969962,0.000969962
41,60.4742,1.28205,2.17025,1.67905,1.3449,0.87165,0.2,0.26167,0.18362,0.68635,0.1,0.10085,0.02993,1.40132,11.2064,3.14017,1.83728,0.00097848,0.00097848,0.00097848
42,62.0693,1.28759,2.14076,1.7112,1.35236,0.92277,0.2,0.22032,0.14495,0.88453,0.1,0.10599,0.05062,1.40039,10.0365,3.25377,1.81264,0.000986206,0.000986206,0.000986206
43,63.4776,1.37339,2.52061,1.81369,1.36008,0.92277,0.2,0.22032,0.14495,0.88453,0.1,0.10599,0.05062,1.40039,10.0365,3.25377,1.81264,0.00099314,0.00099314,0.00099314
44,65.188,1.22892,2.50047,1.64215,1.34221,0.37704,0.2,0.16436,0.11252,0.88561,0.1,0.11232,0.06054,1.61145,7.14984,3.43031,1.84453,0.000999282,0.000999282,0.000999282
45,66.6246,1.41946,2.46227,1.76788,1.44971,0.37704,0.2,0.16436,0.11252,0.88561,0.1,0.11232,0.06054,1.61145,7.14984,3.43031,1.84453,0.00100463,0.00100463,0.00100463
46,68.1385,1.34777,2.08251,1.88893,1.32115,0.2598,0.3,0.18827,0.1166,0.2598,0.3,0.18116,0.07692,1.79824,5.99975,3.27378,2.06394,0.00100919,0.00100919,0.00100919
47,69.4705,1.23643,2.29419,1.77812,1.21916,0.2598,0.3,0.18827,0.1166,0.2598,0.3,0.18116,0.07692,1.79824,5.99975,3.27378,2.06394,0.00101296,0.00101296,0.00101296
48,70.9227,1.28492,2.4294,1.77684,1.29273,0.34056,0.3,0.2154,0.12749,0.34056,0.3,0.23014,0.10021,1.72245,4.99959,3.41244,2.04924,0.00101593,0.00101593,0.00101593
49,72.2182,1.18568,2.18586,1.56744,1.2151,0.34056,0.3,0.2154,0.12749,0.34056,0.3,0.23014,0.10021,1.72245,4.99959,3.41244,2.04924,0.00101811,0.00101811,0.00101811
50,73.6272,1.25993,2.25065,1.57928,1.21281,0.54477,0.3,0.32058,0.15211,0.73527,0.4,0.42066,0.14556,1.83558,5.27168,3.25065,2.15913,0.0010195,0.0010195,0.0010195
51,76.2718,1.1273,1.92476,1.25305,1.16501,0.54477,0.3,0.32058,0.15211,0.73527,0.4,0.42066,0.14556,1.83558,5.27168,3.25065,2.15913,0.00101,0.00101,0.00101
52,77.6866,1.32225,1.86161,1.54022,1.28676,0.74099,0.4,0.48065,0.18437,0.64291,0.4,0.43245,0.10755,1.74003,5.73498,3.06784,2.05052,0.0009902,0.0009902,0.0009902
53,78.9354,1.28795,2.02956,1.63772,1.37356,0.74099,0.4,0.48065,0.18437,0.64291,0.4,0.43245,0.10755,1.74003,5.73498,3.06784,2.05052,0.0009704,0.0009704,0.0009704
54,80.7849,1.35188,2.07009,1.73509,1.42217,0.39162,0.5,0.27634,0.13369,0.39162,0.5,0.25426,0.0601,1.65888,6.40572,2.71824,2.08591,0.0009506,0.0009506,0.0009506
55,82.4132,1.39305,2.16781,1.72426,1.29263,0.39162,0.5,0.27634,0.13369,0.39162,0.5,0.25426,0.0601,1.65888,6.40572,2.71824,2.08591,0.0009308,0.0009308,0.0009308
56,83.8609,1.00639,1.66936,1.27237,1.11783,0.48648,0.4,0.28534,0.13308,0.3592,0.3,0.18863,0.05764,1.61403,7.27934,2.87888,2.00103,0.000911,0.000911,0.000911
57,85.2848,1.02943,1.97654,1.36022,1.11878,0.48648,0.4,0.28534,0.13308,0.3592,0.3,0.18863,0.05764,1.61403,7.27934,2.87888,2.00103,0.0008912,0.0008912,0.0008912
58,86.5595,1.01505,1.99381,1.28951,1.1161,0.56702,0.39383,0.32722,0.14273,0.46453,0.3,0.23787,0.08219,1.82568,7.53809,2.89226,2.05141,0.0008714,0.0008714,0.0008714
59,87.8171,1.06565,1.72977,1.37634,1.1788,0.56702,0.39383,0.32722,0.14273,0.46453,0.3,0.23787,0.08219,1.82568,7.53809,2.89226,2.05141,0.0008516,0.0008516,0.0008516
60,89.0181,1.02408,1.89073,1.35699,1.10301,0.46259,0.4,0.28191,0.13549,0.48076,0.46537,0.30025,0.06556,1.94445,7.23311,2.95848,2.11718,0.0008318,0.0008318,0.0008318
61,90.2521,1.11728,1.61352,1.27199,1.16485,0.46259,0.4,0.28191,0.13549,0.48076,0.46537,0.30025,0.06556,1.94445,7.23311,2.95848,2.11718,0.000812,0.000812,0.000812
62,91.5478,1.20461,1.94243,1.42707,1.27145,0.29357,0.2,0.1944,0.11626,0.44035,0.3,0.25766,0.05778,1.93433,6.06056,2.84479,2.14754,0.0007922,0.0007922,0.0007922
63,92.7157,1.33344,1.76642,1.30368,1.55893,0.29357,0.2,0.1944,0.11626,0.44035,0.3,0.25766,0.05778,1.93433,6.06056,2.84479,2.14754,0.0007724,0.0007724,0.0007724
64,93.8985,1.29877,2.08695,1.65191,1.25354,0.44757,0.2,0.18143,0.11678,0.26546,0.3,0.20657,0.07111,1.85294,5.40154,2.95534,2.05431,0.0007526,0.0007526,0.0007526
65,95.065,1.03137,1.80252,1.37103,1.18934,0.44757,0.2,0.18143,0.11678,0.26546,0.3,0.20657,0.07111,1.85294,5.40154,2.95534,2.05431,0.0007328,0.0007328,0.0007328
66,96.2816,1.10226,1.58412,1.2233,1.14306,0.39763,0.2,0.1833,0.10778,0.24362,0.3,0.20505,0.08737,1.97495,5.3035,2.90444,2.14463,0.000713,0.000713,0.000713
67,97.449,0.96347,1.66973,1.23896,1.12118,0.39763,0.2,0.1833,0.10778,0.24362,0.3,0.20505,0.08737,1.97495,5.3035,2.90444,2.14463,0.0006932,0.0006932,0.0006932
68,98.6497,1.06888,1.87283,1.37716,1.24936,0.39472,0.2,0.20176,0.11347,0.55022,0.3,0.28937,0.10697,1.98413,5.43173,2.85256,2.15849,0.0006734,0.0006734,0.0006734
69,99.9641,1.18281,1.69062,1.25622,1.23236,0.39472,0.2,0.20176,0.11347,0.55022,0.3,0.28937,0.10697,1.98413,5.43173,2.85256,2.15849,0.0006536,0.0006536,0.0006536
70,101.189,1.21334,1.97928,1.36794,1.17476,0.26155,0.4,0.22629,0.11923,0.3275,0.5,0.26289,0.11432,2.06093,5.18222,3.11813,2.29228,0.0006338,0.0006338,0.0006338
71,102.361,1.26804,2.13498,1.43938,1.39831,0.26155,0.4,0.22629,0.11923,0.3275,0.5,0.26289,0.11432,2.06093,5.18222,3.11813,2.29228,0.000614,0.000614,0.000614
72,103.565,0.96134,1.91199,1.24253,1.12067,0.36939,0.6,0.31478,0.13038,0.39789,0.39684,0.26915,0.1295,1.94583,4.93011,3.2553,2.24602,0.0005942,0.0005942,0.0005942
73,104.725,1.16405,1.91413,1.40265,1.19944,0.36939,0.6,0.31478,0.13038,0.39789,0.39684,0.26915,0.1295,1.94583,4.93011,3.2553,2.24602,0.0005744,0.0005744,0.0005744
74,105.926,0.9237,1.37827,1.17712,1.09833,0.34214,0.5,0.28119,0.13674,0.35425,0.4,0.24659,0.12217,1.90492,4.73877,3.13523,2.31657,0.0005546,0.0005546,0.0005546
75,107.107,1.02815,1.54164,1.20175,1.12034,0.34214,0.5,0.28119,0.13674,0.35425,0.4,0.24659,0.12217,1.90492,4.73877,3.13523,2.31657,0.0005348,0.0005348,0.0005348
76,108.298,1.09462,2.01923,1.33502,1.19593,0.33568,0.5,0.30763,0.1525,0.39093,0.4,0.27188,0.13006,1.90513,4.49382,2.96852,2.3429,0.000515,0.000515,0.000515
77,109.509,0.98681,1.50813,1.14815,1.08934,0.33568,0.5,0.30763,0.1525,0.39093,0.4,0.27188,0.13006,1.90513,4.49382,2.96852,2.3429,0.0004952,0.0004952,0.0004952
78,110.717,0.77918,1.38089,0.99483,0.977,0.48471,0.4,0.28788,0.13479,0.60678,0.5,0.40854,0.12204,1.95416,4.74979,2.62427,2.40062,0.0004754,0.0004754,0.0004754
