epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1668,2.44238,6.84435,3.86048,2.57306,0.00205,0.84211,0.01004,0.00291,0.00154,0.63158,0.00479,0.00076,2.06424,4.94211,4.06476,2.6456,0.00016,0.00016,0.00016
2,15.7277,2.25017,4.72818,3.55767,2.30523,0.00231,0.94737,0.01757,0.00666,0.00192,0.78947,0.03768,0.00625,1.94382,7.49608,3.89235,2.46549,0.000336634,0.000336634,0.000336634
3,20.1194,1.80859,3.7673,3.34663,1.92341,0.00244,1,0.06532,0.0247,0.00103,0.42105,0.0018,0.00028,1.70879,12.0769,3.61176,2.33281,0.000509704,0.000509704,0.000509704
4,24.603,1.67022,3.3954,2.84618,1.71687,0.00231,0.94737,0.15128,0.05609,0.00167,0.68421,0.00928,0.00137,1.93641,10.0641,3.78427,2.85076,0.00067921,0.00067921,0.00067921
5,29.5694,1.82896,3.28623,2.65086,1.79794,0.38782,0.21053,0.26786,0.11389,0.29087,0.15789,0.12,0.01476,1.93968,15.235,3.46575,2.4937,0.000845152,0.000845152,0.000845152
6,33.8261,1.82165,3.15577,2.65672,1.76914,0.59121,0.26316,0.35777,0.12946,0.45279,0.15789,0.14611,0.03193,2.16463,11.0141,3.58344,2.77264,0.00100753,0.00100753,0.00100753
7,38.3524,1.81727,3.08885,2.55123,1.69933,0.38224,0.36842,0.25049,0.11331,0.04794,0.10526,0.01103,0.00141,2.05304,15.9597,3.8712,2.67524,0.00116634,0.00116634,0.00116634
8,42.7242,1.7908,3.00868,2.27819,1.68718,0.32779,0.31579,0.28476,0.10934,0.21637,0.21053,0.14143,0.04502,2.09576,13.4979,4.18085,3.0765,0.00132159,0.00132159,0.00132159
9,47.4626,1.77457,2.92619,2.22144,1.70543,0.09746,0.10526,0.04558,0.01611,0.09746,0.10526,0.04376,0.01146,1.86172,5.72921,4.03894,2.29575,0.00147328,0.00147328,0.00147328
10,52.3843,1.84254,3.02478,2.29228,1.73126,0.02198,0.42105,0.01861,0.00495,0.02534,0.47368,0.0206,0.00381,2.43465,6.97764,4.55356,2.96985,0.0016214,0.0016214,0.0016214
11,56.6004,1.72747,2.7356,2.12612,1.6472,0.55155,0.52632,0.37636,0.12133,0.43193,0.42105,0.27702,0.06496,2.18717,9.96135,2.90879,2.68354,0.00176596,0.00176596,0.00176596
12,60.9146,1.72931,2.73866,2.12872,1.65266,0.64756,0.68421,0.57727,0.27551,0.68615,0.57555,0.5707,0.17379,1.76709,7.7417,3.60542,2.06402,0.0017822,0.0017822,0.0017822
13,65.1505,1.64429,2.67031,1.9465,1.5887,0.37228,0.26316,0.22111,0.07855,0.37228,0.26316,0.20498,0.0559,2.11591,5.81891,5.51759,2.39984,0.0017624,0.0017624,0.0017624
14,69.7775,1.67289,2.65558,1.95009,1.56415,0.34874,0.68421,0.41985,0.1106,0.33632,0.42105,0.26773,0.06728,1.97302,6.66289,6.07475,2.2052,0.0017426,0.0017426,0.0017426
15,74.1029,1.6327,2.80129,1.86729,1.56444,0.25964,0.73684,0.38367,0.14793,0.64709,0.36842,0.50044,0.12839,1.78418,4.03723,4.17947,2.20287,0.0017228,0.0017228,0.0017228
16,78.6248,1.60173,2.64817,1.85581,1.56169,0.40077,0.73684,0.50803,0.23922,0.44662,0.25551,0.23017,0.06626,1.79973,8.20026,2.04868,2.09083,0.001703,0.001703,0.001703
17,82.8532,1.67017,2.6849,1.93823,1.58856,0.35707,0.36842,0.2519,0.08672,0.24503,0.05263,0.03208,0.00346,2.20932,9.11509,2.63928,2.39582,0.0016832,0.0016832,0.0016832
18,87.3562,1.58828,2.60553,1.74212,1.54633,0.70819,0.31579,0.36789,0.11646,0.00103,0.42105,0.00212,0.00033,2.55491,9.5626,2.92819,2.59268,0.0016634,0.0016634,0.0016634
19,92.0286,1.51707,2.51736,1.62502,1.48656,0.43677,0.36842,0.44965,0.16614,0.1569,0.15789,0.16095,0.04529,2.3704,4.90371,6.45467,2.89163,0.0016436,0.0016436,0.0016436
20,96.6522,1.50789,2.57048,1.69445,1.50211,0.47033,0.68421,0.53115,0.30137,0.45049,0.47368,0.43088,0.13711,1.60148,4.12357,3.12045,1.82329,0.0016238,0.0016238,0.0016238
21,101.206,1.60632,2.53503,1.64592,1.55922,0.55406,0.52632,0.50588,0.29911,0.77105,0.36842,0.42477,0.15275,1.74621,3.71758,4.56739,1.95416,0.001604,0.001604,0.001604
22,105.516,1.538,2.54968,1.65544,1.50071,0.30547,0.31579,0.15101,0.06689,0.20702,0.21053,0.08397,0.04501,1.84903,3.90938,4.78991,2.14766,0.0015842,0.0015842,0.0015842
23,109.846,1.38206,2.35033,1.56136,1.42239,0.81509,0.46474,0.56632,0.2727,0.72376,0.41427,0.45576,0.24369,1.71606,2.70459,3.83118,2.1355,0.0015644,0.0015644,0.0015644
24,114.279,1.48777,2.45976,1.4921,1.45661,0.58372,0.47368,0.47066,0.29868,0.65234,0.52632,0.54956,0.24599,1.53317,3.35916,2.90567,1.76475,0.0015446,0.0015446,0.0015446
25,118.804,1.52646,2.48942,1.47135,1.50824,0.52357,0.57895,0.5217,0.29954,0.47457,0.52632,0.45501,0.20666,1.4638,3.39756,2.98025,1.75053,0.0015248,0.0015248,0.0015248
26,123.117,1.48479,2.31688,1.45563,1.44327,0.54652,0.78947,0.68393,0.38561,0.54652,0.78947,0.71379,0.28086,1.57779,3.70069,3.10902,1.77386,0.001505,0.001505,0.001505
27,127.333,1.47351,2.34298,1.45165,1.48328,0.70162,0.57895,0.61527,0.29354,0.65777,0.52632,0.55572,0.19904,1.75336,3.57214,2.18677,1.88355,0.0014852,0.0014852,0.0014852
28,131.79,1.55251,2.31611,1.52111,1.51768,0.66337,0.73684,0.72712,0.41346,0.61287,0.68421,0.66646,0.29957,1.64392,3.31918,1.47325,1.65264,0.0014654,0.0014654,0.0014654
29,135.985,1.41194,2.21042,1.38941,1.46603,0.74456,0.47368,0.63893,0.34513,0.74456,0.47368,0.60806,0.22113,1.61197,4.22201,1.82014,1.75902,0.0014456,0.0014456,0.0014456
30,140.308,1.39147,2.24738,1.36372,1.4116,0.59533,0.68421,0.66717,0.2844,0.59533,0.68421,0.63291,0.24741,1.81631,3.79826,2.27658,1.84412,0.0014258,0.0014258,0.0014258
31,144.589,1.43989,2.30918,1.31598,1.46237,0.68426,0.73684,0.76772,0.37387,0.7395,0.78947,0.82433,0.34134,1.70567,3.00926,1.9831,1.7424,0.001406,0.001406,0.001406
32,148.932,1.34254,2.15849,1.30722,1.39959,0.62952,0.84211,0.70768,0.31236,0.62606,0.70554,0.63652,0.25018,1.86508,3.36468,2.0959,1.82776,0.0013862,0.0013862,0.0013862
33,153.206,1.41642,2.20963,1.27454,1.43455,0.79676,0.82588,0.83322,0.45857,0.81413,0.84211,0.91189,0.3771,1.5475,3.08117,1.44468,1.63761,0.0013664,0.0013664,0.0013664
34,157.514,1.39842,2.25003,1.30192,1.40027,0.69452,0.89474,0.81198,0.46847,0.73126,0.84211,0.89551,0.3814,1.50836,3.03206,1.38748,1.627,0.0013466,0.0013466,0.0013466
35,161.755,1.30018,2.01674,1.15968,1.34338,0.63031,0.8081,0.73957,0.40005,0.67056,0.85746,0.80478,0.32251,1.51245,3.01328,1.38844,1.58192,0.0013268,0.0013268,0.0013268
36,166.009,1.32118,2.11626,1.14763,1.36651,0.75408,0.80749,0.80661,0.36503,0.92672,0.78947,0.90419,0.34029,1.79352,2.70245,1.38453,1.8043,0.001307,0.001307,0.001307
37,170.314,1.30666,2.08106,1.206,1.34899,0.77839,0.73961,0.85747,0.52281,0.77839,0.73961,0.85747,0.44228,1.50155,2.65067,1.15912,1.61342,0.0012872,0.0012872,0.0012872
38,174.735,1.30932,2.10541,1.19504,1.37245,0.70528,0.75631,0.80539,0.46015,0.61535,0.78947,0.72842,0.36396,1.64381,2.99573,1.07698,1.72424,0.0012674,0.0012674,0.0012674
39,179.234,1.35464,2.22176,1.17563,1.38381,0.86242,0.73684,0.78127,0.47763,0.80015,0.68421,0.68395,0.36445,1.52535,2.78336,1.04586,1.69814,0.0012476,0.0012476,0.0012476
40,183.526,1.25695,2.02363,1.1154,1.29663,0.80397,0.78947,0.80744,0.49817,0.85828,0.84211,0.88109,0.40559,1.46461,2.62982,1.05127,1.57205,0.0012278,0.0012278,0.0012278
41,187.828,1.41035,2.11645,1.23262,1.40649,0.76658,0.84211,0.81998,0.47876,0.87108,0.94737,0.96034,0.43156,1.4909,2.55665,1.03639,1.57769,0.001208,0.001208,0.001208
42,192.115,1.33751,2.13163,1.17292,1.37226,0.88651,0.82297,0.82904,0.50804,0.88651,0.82297,0.81591,0.39285,1.38265,2.6482,0.97355,1.51324,0.0011882,0.0011882,0.0011882
43,196.369,1.23874,1.91469,1.08432,1.31433,0.75277,0.57895,0.56983,0.34259,0.75277,0.57895,0.59135,0.24521,1.53135,2.91682,1.43503,1.64605,0.0011684,0.0011684,0.0011684
44,200.65,1.2494,2.03597,1.06174,1.29625,0.88607,0.81943,0.88137,0.49906,0.94244,0.86248,0.97162,0.44172,1.36917,2.45237,1.096,1.49377,0.0011486,0.0011486,0.0011486
45,205.21,1.27588,2.01666,1.11359,1.33331,0.79728,0.84211,0.8191,0.49447,0.85805,0.89474,0.91955,0.38104,1.38242,2.62988,1.02725,1.55308,0.0011288,0.0011288,0.0011288
46,210.07,1.2259,2.06783,1.04082,1.30232,0.8134,0.94737,0.91248,0.48742,0.8618,1,0.98548,0.40562,1.43657,2.78058,0.90425,1.6057,0.001109,0.001109,0.001109
47,214.368,1.19592,1.99231,1.04407,1.28006,0.8966,0.91337,0.94175,0.48156,0.9482,0.96404,0.9875,0.39764,1.67099,2.9526,0.82296,1.71804,0.0010892,0.0010892,0.0010892
48,218.817,1.21858,2.11019,1.08476,1.31965,0.93555,0.89474,0.91712,0.51954,0.94701,0.94088,0.9475,0.41825,1.64718,2.81895,0.94057,1.65273,0.0010694,0.0010694,0.0010694
49,223.044,1.21085,1.90243,1.01615,1.28358,0.94112,0.94737,0.94135,0.47422,0.94112,0.94737,0.93003,0.4284,1.70008,2.68664,0.95222,1.72245,0.0010496,0.0010496,0.0010496
50,227.245,1.1552,1.92779,0.98153,1.2466,0.83522,0.94737,0.93167,0.49057,0.93828,0.84211,0.89179,0.42861,1.64464,2.61713,0.93255,1.7252,0.0010298,0.0010298,0.0010298
51,231.492,1.23449,1.98219,1.02142,1.31377,0.95276,0.78947,0.94057,0.50279,0.95276,0.78947,0.94057,0.4681,1.57954,2.48566,0.85074,1.62651,0.00101,0.00101,0.00101
