epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9175,2.54587,6.92232,3.72733,2.5991,0.00316,0.94737,0.01712,0.00366,0.00211,0.63158,0.00881,0.00186,2.43507,4.69821,3.70595,2.86983,0.00016,0.00016,0.00016
2,23.686,2.19826,4.53655,3.55831,2.34065,0.00333,1,0.03721,0.01639,0.00316,0.94737,0.07449,0.01524,1.79872,8.229,3.57306,2.54894,0.000336634,0.000336634,0.000336634
3,29.0362,1.80675,3.50504,3.23291,1.923,0.00333,1,0.21768,0.09866,0.00193,0.57895,0.03272,0.00607,2.0326,8.21303,3.35098,2.43674,0.000509704,0.000509704,0.000509704
4,34.4876,1.71735,3.53258,2.91267,1.7853,0.00333,1,0.29375,0.10799,0.00228,0.68421,0.11155,0.01459,2.03319,6.26748,3.28136,2.51166,0.00067921,0.00067921,0.00067921
5,39.0695,1.797,3.40647,2.7122,1.86126,0.33839,0.15789,0.20478,0.05719,0.24401,0.21053,0.09427,0.02149,1.89311,7.14325,3.36986,2.76632,0.000845152,0.000845152,0.000845152
6,43.9498,1.77071,3.18844,2.43666,1.80472,0.38663,0.15789,0.31764,0.12955,0.00175,0.52632,0.00956,0.0016,1.92116,14.9104,3.15291,2.55644,0.00100753,0.00100753,0.00100753
7,48.6322,1.85556,3.21136,2.46198,1.81292,0.25127,0.05263,0.25541,0.10166,0.29808,0.05263,0.0948,0.01706,1.81898,9.82347,3.09053,2.35494,0.00116634,0.00116634,0.00116634
8,53.1261,1.74307,2.98066,2.2238,1.68696,0.4013,0.38873,0.37872,0.15477,0.22164,0.42105,0.2393,0.05668,1.92609,10.9766,2.82875,2.3138,0.00132159,0.00132159,0.00132159
9,58.9496,1.77246,2.94933,2.25397,1.75408,0.50125,0.42105,0.48136,0.15543,0.35692,0.15789,0.1162,0.02076,2.20251,18.8164,3.01455,3.08607,0.00147328,0.00147328,0.00147328
10,63.9039,1.63833,2.88211,2.05283,1.64069,0.79714,0.57895,0.62752,0.17069,0.53174,0.36842,0.28173,0.04585,2.23295,18.2947,3.11387,3.82514,0.0016214,0.0016214,0.0016214
11,69.2558,1.70807,2.86753,2.00233,1.66149,0.4346,0.47368,0.48233,0.13175,0.10453,0.15789,0.04239,0.01038,2.47635,32.383,2.96616,3.96564,0.00176596,0.00176596,0.00176596
12,74.1677,1.64403,2.73663,1.93462,1.60769,0.82789,0.57895,0.73528,0.31419,0.53455,0.57895,0.57258,0.22149,1.89791,7.02558,2.96452,2.34198,0.0017822,0.0017822,0.0017822
