epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.15623,2.44238,6.84435,3.86048,2.57306,0.00205,0.84211,0.01004,0.00291,0.00154,0.63158,0.00479,0.00076,2.06424,4.94211,4.06476,2.6456,0.00016,0.00016,0.00016
2,13.8516,2.26314,4.75322,3.56055,2.31669,0.00218,0.89474,0.03112,0.00971,0.00192,0.78947,0.04125,0.0058,2.11694,6.55188,3.95486,2.55436,0.000338878,0.000338878,0.000338878
3,18.2541,1.83119,3.767,3.42156,2.01353,0.00232,0.94737,0.05282,0.01588,0.0018,0.73684,0.01947,0.00221,1.96458,8.59297,3.77154,2.73636,0.000516568,0.000516568,0.000516568
4,22.6634,1.71705,3.35159,2.87136,1.77735,0.00244,1,0.44051,0.16994,0.00077,0.31579,0.02105,0.00872,1.74097,12.2405,3.60755,2.34325,0.00069307,0.00069307,0.00069307
5,27.1118,1.81764,3.30578,2.62808,1.77436,0.33186,0.26316,0.26252,0.08483,0.12617,0.10526,0.02169,0.00232,2.1539,19.8732,3.6037,3.12149,0.000868384,0.000868384,0.000868384
6,31.4945,1.74646,3.06688,2.47167,1.72366,0.61745,0.42105,0.41894,0.17958,0.91194,0.10526,0.12325,0.01427,2.01215,12.7605,3.1709,3.12975,0.00104251,0.00104251,0.00104251
7,35.9618,1.76566,3.17951,2.4962,1.70691,0.55179,0.26316,0.30099,0.10906,0.24537,0.15789,0.13657,0.03049,1.94157,8.29241,3.65902,3.23949,0.00121545,0.00121545,0.00121545
8,40.5923,1.74547,3.01378,2.19208,1.69303,0.22665,0.42105,0.24061,0.09462,0.08935,0.15789,0.02479,0.00481,2.16605,17.9645,4.24031,3.22364,0.0013872,0.0013872,0.0013872
9,45.0886,1.83914,3.00691,2.24117,1.76867,0.04119,0.42105,0.03126,0.01144,0.03077,0.26316,0.01263,0.0026,2.20548,10.9645,9.38181,2.97645,0.00155776,0.00155776,0.00155776
10,49.4069,1.79212,2.88775,2.26097,1.73331,0.00569,0.36842,0.00586,0.00201,0.00408,0.26316,0.00178,0.00035,2.51294,23.4499,68.5973,5.16972,0.00172713,0.00172713,0.00172713
11,53.767,1.71148,2.77708,2.06889,1.66157,0.2941,0.31579,0.32832,0.16856,0.19649,0.21053,0.16881,0.05642,2.04751,9.41599,3.1933,2.32685,0.00189532,0.00189532,0.00189532
12,58.4143,1.77271,2.86955,2.18147,1.68749,0.13848,0.31579,0.07076,0.0298,0.09186,0.21053,0.04151,0.00703,1.96337,6.96365,4.24976,2.28589,0.0019274,0.0019274,0.0019274
13,62.8634,1.72137,2.80356,2.05486,1.62496,0.32212,0.47368,0.35881,0.15813,0.53937,0.42105,0.38207,0.11832,2.07963,5.5737,7.82584,2.23139,0.0019208,0.0019208,0.0019208
14,67.1786,1.7656,2.78869,2.08622,1.6656,0.3822,0.57895,0.45406,0.10121,0.23936,0.36842,0.17481,0.05059,2.48351,8.30973,6.9644,2.98982,0.0019142,0.0019142,0.0019142
15,71.5423,1.71391,2.74716,1.96085,1.6581,0.52252,0.36842,0.35055,0.12985,0.30219,0.21053,0.19542,0.06122,2.18519,5.79885,5.19468,2.39393,0.0019076,0.0019076,0.0019076
16,75.9396,1.65813,2.78459,1.96869,1.63378,0.67022,0.26316,0.27572,0.09524,0.81706,0.31579,0.36476,0.10078,2.27164,8.65642,2.82648,2.57279,0.001901,0.001901,0.001901
17,80.4883,1.70567,2.82055,1.95262,1.64433,0.00244,1,0.01477,0.00448,0.00038,0.15789,0.0024,0.00027,2.57251,29.3107,3.45035,2.75465,0.0018944,0.0018944,0.0018944
18,85.1196,1.71255,2.64654,1.80553,1.63631,0.01594,0.15789,0.00733,0.00234,0,0,0,0,2.80051,51.92,3.75022,3.37522,0.0018878,0.0018878,0.0018878
19,89.5624,1.54612,2.58514,1.67595,1.52612,0.3646,0.57895,0.38327,0.20154,0.29927,0.36842,0.17144,0.04668,2.1113,8.89417,2.30813,2.0954,0.0018812,0.0018812,0.0018812
20,93.9455,1.58694,2.54702,1.72732,1.56972,0.56409,0.47368,0.45416,0.18646,0.56409,0.47368,0.44856,0.15981,1.97627,3.39037,3.44777,2.13431,0.0018746,0.0018746,0.0018746
21,98.3036,1.6755,2.57926,1.7616,1.61795,0.42049,0.42105,0.35436,0.16569,0.69389,0.31579,0.35445,0.08763,2.07305,4.14632,2.97553,2.2004,0.001868,0.001868,0.001868
22,102.645,1.59999,2.62039,1.74958,1.56762,0.54186,0.36842,0.33308,0.1152,0.36547,0.42105,0.37534,0.14365,2.33725,3.31557,2.89509,2.58489,0.0018614,0.0018614,0.0018614
23,107.264,1.5167,2.44219,1.63896,1.5188,0.29473,0.26316,0.1249,0.05091,0.22792,0.21053,0.07636,0.02789,2.10137,5.36233,4.13514,2.19777,0.0018548,0.0018548,0.0018548
24,111.724,1.5831,2.50467,1.56496,1.53123,0.35741,0.26316,0.2109,0.063,0.28808,0.21053,0.14098,0.02554,2.77397,36.5789,2.8013,3.09312,0.0018482,0.0018482,0.0018482
25,116.052,1.55404,2.47578,1.50512,1.5361,0.30249,0.21053,0.1318,0.03743,0.31185,0.15789,0.1052,0.03388,2.47196,32.8159,2.78593,2.64407,0.0018416,0.0018416,0.0018416
26,120.344,1.53429,2.43437,1.50325,1.49793,0.40992,0.21053,0.25317,0.0909,0.1299,0.26316,0.09866,0.03842,2.14684,7.64716,2.55426,2.25086,0.001835,0.001835,0.001835
27,124.737,1.53222,2.53492,1.54991,1.5354,0.54168,0.68421,0.5736,0.26703,0.49908,0.63158,0.547,0.19584,1.82273,3.76846,1.48929,1.89176,0.0018284,0.0018284,0.0018284
28,129.26,1.52007,2.26971,1.55244,1.54484,0.81191,0.68171,0.64511,0.30296,0.81191,0.68171,0.70262,0.26546,1.81887,3.07922,1.37907,1.97659,0.0018218,0.0018218,0.0018218
29,133.832,1.44787,2.31433,1.45429,1.54448,0.73656,0.73684,0.72925,0.39725,0.73656,0.73684,0.72216,0.30799,1.60446,2.84543,1.64242,1.73836,0.0018152,0.0018152,0.0018152
30,138.232,1.5351,2.37253,1.42526,1.53794,0.64827,0.47368,0.59195,0.24057,0.7451,0.63158,0.64433,0.26226,1.89983,3.04914,2.06933,1.96903,0.0018086,0.0018086,0.0018086
31,142.56,1.50066,2.48777,1.46456,1.52607,0.63533,0.73369,0.7052,0.33017,0.80033,0.63298,0.75399,0.28323,1.8293,3.18032,1.65234,1.90686,0.001802,0.001802,0.001802
32,146.927,1.42898,2.40842,1.38546,1.45964,0.75251,0.73684,0.80811,0.3787,0.95268,0.68421,0.89392,0.30384,1.61386,3.42304,2.26178,1.73047,0.0017954,0.0017954,0.0017954
33,151.281,1.46447,2.26872,1.34089,1.50671,0.86908,0.78947,0.80687,0.36541,0.93051,0.57895,0.67383,0.2025,1.72542,4.14846,1.81208,1.78637,0.0017888,0.0017888,0.0017888
34,155.862,1.41099,2.30937,1.30702,1.45173,0.86509,0.84211,0.85072,0.35007,0.81054,0.78947,0.75417,0.29273,1.77146,3.2593,1.55824,1.95762,0.0017822,0.0017822,0.0017822
35,160.543,1.35704,2.14957,1.24905,1.43819,0.83598,0.68421,0.82594,0.37869,0.79693,0.68421,0.71639,0.33553,1.61056,3.01023,1.29753,1.77029,0.0017756,0.0017756,0.0017756
36,165.905,1.35774,2.23839,1.26924,1.43299,0.72081,0.81593,0.76379,0.36536,0.72081,0.81593,0.74074,0.33088,1.67734,3.1646,1.44149,1.75099,0.001769,0.001769,0.001769
37,171.453,1.39109,2.16654,1.26559,1.43056,0.7787,0.63158,0.64474,0.28598,0.84359,0.68421,0.76142,0.2833,1.91493,3.32171,1.83728,2.03867,0.0017624,0.0017624,0.0017624
38,177.189,1.42505,2.10407,1.27546,1.42479,0.6432,0.89474,0.75238,0.33543,0.60999,0.84211,0.7086,0.32952,1.82512,2.87724,2.3042,2.05194,0.0017558,0.0017558,0.0017558
39,183.897,1.45727,2.38486,1.26376,1.46139,0.66601,0.78947,0.78059,0.44141,0.82103,0.72491,0.74055,0.3205,1.44355,2.99258,2.11771,1.64668,0.0017492,0.0017492,0.0017492
40,188.269,1.36969,2.24116,1.2837,1.41417,0.71042,0.77523,0.83072,0.40715,0.60134,0.63528,0.60064,0.2504,1.48484,2.95639,1.63356,1.62464,0.0017426,0.0017426,0.0017426
41,192.976,1.38642,2.29297,1.32678,1.41833,0.63511,0.78947,0.81751,0.42133,0.74621,0.84211,0.80419,0.3133,1.517,2.85843,1.42144,1.60718,0.001736,0.001736,0.001736
42,197.794,1.48557,2.25448,1.31402,1.503,0.65572,0.89474,0.83399,0.46373,0.65572,0.89474,0.80179,0.39474,1.5574,2.60471,1.2226,1.66782,0.0017294,0.0017294,0.0017294
43,203.446,1.348,2.02727,1.16754,1.40175,0.88706,0.8274,0.91786,0.46248,0.88706,0.8274,0.91786,0.44655,1.50543,2.53842,1.17036,1.6559,0.0017228,0.0017228,0.0017228
44,207.958,1.38969,2.20949,1.16264,1.41148,0.85111,0.68421,0.71641,0.35531,0.75355,0.57895,0.58834,0.21412,2.01698,4.15462,1.16593,2.04557,0.0017162,0.0017162,0.0017162
45,212.35,1.33726,2.07485,1.17867,1.39038,0.9035,0.68421,0.83903,0.39989,0.9035,0.68421,0.83903,0.3698,1.728,3.05875,1.08876,1.81564,0.0017096,0.0017096,0.0017096
46,216.77,1.21416,2.08616,1.04138,1.34425,0.81376,0.92052,0.90828,0.40305,0.76892,0.87623,0.85004,0.3569,1.73011,3.2563,1.06598,1.84507,0.001703,0.001703,0.001703
47,221.314,1.32053,2.13839,1.13785,1.41776,0.81048,0.89474,0.93062,0.48651,0.81048,0.89474,0.89226,0.42155,1.57653,3.13132,1.02557,1.69972,0.0016964,0.0016964,0.0016964
48,226.032,1.35149,2.31277,1.205,1.42902,0.87556,0.63158,0.77256,0.43964,0.79126,0.57895,0.71156,0.34228,1.62316,3.48713,1.19449,1.77866,0.0016898,0.0016898,0.0016898
49,230.402,1.34439,1.97222,1.07707,1.36456,0.76407,0.68194,0.76791,0.39925,0.78594,0.63158,0.7138,0.30979,1.65783,3.76326,1.31342,1.7717,0.0016832,0.0016832,0.0016832
50,234.705,1.23467,2.02384,1.05439,1.30966,0.91357,0.84211,0.82196,0.36519,0.97952,0.84211,0.85882,0.35702,1.85733,3.10408,1.17769,1.96976,0.0016766,0.0016766,0.0016766
51,239.436,1.28764,2.08244,1.07428,1.36383,0.87394,0.73015,0.79253,0.45549,0.93716,0.73684,0.87779,0.39002,1.49412,2.90675,1.14601,1.66277,0.00167,0.00167,0.00167
52,243.75,1.28744,2.17071,1.14916,1.37958,0.85811,0.78947,0.82407,0.41791,0.91632,0.84211,0.88953,0.30876,1.74713,3.37721,1.36362,1.85822,0.0016634,0.0016634,0.0016634
53,248.245,1.1908,1.97366,0.95665,1.28155,0.88143,0.78289,0.78727,0.40589,1,0.88321,0.93282,0.3848,1.77722,2.87031,0.99594,1.99912,0.0016568,0.0016568,0.0016568
54,253.058,1.26539,2.09867,1.10395,1.34571,0.69889,0.78947,0.73766,0.34553,0.79524,0.89474,0.92391,0.36123,1.99924,2.94418,1.08301,2.34173,0.0016502,0.0016502,0.0016502
55,257.383,1.3188,2.11429,1.10091,1.36367,0.78857,0.73684,0.69585,0.33493,0.90495,0.84211,0.89191,0.3537,1.85748,2.91418,1.29864,2.19505,0.0016436,0.0016436,0.0016436
56,261.722,1.29194,2.19021,1.07381,1.37158,0.77105,0.73684,0.72445,0.36139,0.88609,0.84211,0.91027,0.33972,1.90327,3.18461,1.48436,2.25234,0.001637,0.001637,0.001637
57,266.098,1.27905,2.09031,1.09346,1.34873,0.79215,0.63158,0.66678,0.40691,1,0.77465,0.92946,0.40834,1.63064,2.80525,1.37622,1.87758,0.0016304,0.0016304,0.0016304
58,270.518,1.34001,2.05489,1.09609,1.37805,0.77523,0.72658,0.77007,0.40736,0.77523,0.72658,0.77007,0.3518,1.7829,3.05046,1.36526,1.85825,0.0016238,0.0016238,0.0016238
59,275.083,1.30533,2.07424,1.11192,1.35361,0.81212,0.68421,0.72393,0.30726,0.72356,0.47368,0.44104,0.17912,1.93876,4.37921,1.33165,1.96264,0.0016172,0.0016172,0.0016172
60,279.482,1.32427,2.03987,1.10758,1.36833,0.74099,0.75341,0.7616,0.45833,0.8462,0.78947,0.87985,0.42567,1.31303,2.38991,1.29277,1.54256,0.0016106,0.0016106,0.0016106
61,283.846,1.28154,2.05175,1.08358,1.3444,0.75378,0.57895,0.66579,0.42867,0.79966,0.84039,0.85245,0.39524,1.45077,2.59888,1.42988,1.63813,0.001604,0.001604,0.001604
62,288.191,1.26112,1.99669,0.95309,1.3424,0.71078,0.77655,0.81054,0.51756,0.75697,0.8203,0.87996,0.44124,1.47882,2.78421,1.17814,1.64752,0.0015974,0.0015974,0.0015974
63,292.371,1.21965,2.00274,1.03045,1.32739,0.69578,0.73684,0.77388,0.47325,0.84157,0.84211,0.9059,0.42749,1.41987,2.77242,1.0344,1.57362,0.0015908,0.0015908,0.0015908
64,296.89,1.24766,2.01668,1.02616,1.34152,0.93687,0.78147,0.85016,0.5284,1,0.83306,0.93184,0.47501,1.31707,2.51163,0.98189,1.46355,0.0015842,0.0015842,0.0015842
65,301.647,1.22091,1.9939,0.99214,1.29862,0.90076,0.68421,0.82616,0.35733,0.90076,0.68421,0.84008,0.38616,1.82682,2.82619,1.13256,2.01245,0.0015776,0.0015776,0.0015776
66,306.431,1.13838,1.94942,0.99012,1.2604,0.73412,0.84211,0.77989,0.42008,0.7826,0.89474,0.87463,0.41873,1.67605,2.64553,1.24691,1.8035,0.001571,0.001571,0.001571
67,311.288,1.12641,1.99929,0.93812,1.28127,0.76961,0.78947,0.80603,0.4492,0.8261,0.84211,0.90364,0.39249,1.58406,2.79926,1.24107,1.72971,0.0015644,0.0015644,0.0015644
68,315.768,1.11363,1.81517,0.90942,1.23051,0.73606,0.73402,0.77254,0.38133,0.83232,0.84211,0.87482,0.37799,1.71212,2.73654,1.41801,1.8648,0.0015578,0.0015578,0.0015578
69,320.256,1.12106,1.89048,0.87752,1.23854,0.8282,0.78947,0.79506,0.39641,0.88431,0.84211,0.86458,0.36653,1.85655,2.84521,1.20241,2.02086,0.0015512,0.0015512,0.0015512
70,324.724,1.21275,1.87888,0.95561,1.29134,0.69983,0.78947,0.79363,0.3982,0.74786,0.84211,0.87898,0.39007,1.75799,2.73755,1.14816,1.91505,0.0015446,0.0015446,0.0015446
71,329.098,1.188,1.84311,0.93529,1.27982,0.67786,0.66515,0.65942,0.29136,0.67562,0.65844,0.66332,0.28831,2.06076,2.94682,1.27371,2.18493,0.001538,0.001538,0.001538
72,333.542,1.22394,1.83164,0.91234,1.28417,0.78692,0.77796,0.72643,0.40652,0.84002,0.82958,0.81218,0.39441,1.55959,2.62091,1.16326,1.63874,0.0015314,0.0015314,0.0015314
73,337.748,1.10332,1.84112,0.89007,1.21305,0.92559,0.73684,0.74972,0.4141,0.99446,0.78947,0.85137,0.39325,1.54928,2.67777,1.13645,1.67533,0.0015248,0.0015248,0.0015248
74,341.935,1.16603,1.86944,0.89813,1.25278,0.75638,0.68421,0.69799,0.38777,0.87492,0.78947,0.86681,0.38005,1.62912,2.77503,1.02037,1.73472,0.0015182,0.0015182,0.0015182
75,346.292,1.13798,1.9081,0.88818,1.27384,0.73704,0.68421,0.74239,0.46104,0.88058,0.78947,0.88797,0.43156,1.37263,2.63841,0.9865,1.56541,0.0015116,0.0015116,0.0015116
76,350.616,1.20226,1.86688,0.88131,1.28921,0.8756,0.78947,0.79578,0.40458,0.94016,0.84211,0.87459,0.43023,1.61355,2.61225,1.45938,1.67236,0.001505,0.001505,0.001505
77,355.18,1.13549,1.91419,0.91817,1.29282,0.70587,0.68421,0.63285,0.36143,0.76949,0.73684,0.71963,0.35068,1.69701,2.81177,1.35298,1.89858,0.0014984,0.0014984,0.0014984
78,359.349,1.1419,1.83424,0.88197,1.29684,0.64659,0.63158,0.67734,0.37834,0.77393,0.73684,0.8473,0.39388,1.66341,2.77142,1.21551,1.80988,0.0014918,0.0014918,0.0014918
79,363.509,1.10204,1.83418,0.89471,1.23064,0.75339,0.68421,0.7313,0.37385,0.75339,0.68421,0.72009,0.36315,1.7019,2.77196,1.17612,1.89578,0.0014852,0.0014852,0.0014852
80,367.829,1.06809,1.81643,0.90058,1.21593,0.77507,0.78947,0.82002,0.46737,0.91546,0.78947,0.8536,0.42919,1.54029,2.83746,0.9652,1.70426,0.0014786,0.0014786,0.0014786
81,372.129,1.11084,1.8128,0.88355,1.22425,0.77928,0.78947,0.84033,0.41511,0.8809,0.7791,0.83417,0.41337,1.80101,3.02253,1.0128,1.89053,0.001472,0.001472,0.001472
82,376.591,1.09741,1.83215,0.87459,1.22444,0.69021,0.78947,0.8049,0.43033,0.93249,0.78947,0.82126,0.39664,1.76465,3.10245,0.97248,1.91322,0.0014654,0.0014654,0.0014654
83,381.866,1.11027,1.82016,0.86922,1.23581,0.74964,0.63158,0.66966,0.40724,0.81183,0.68139,0.70779,0.33996,1.69759,3.11805,1.61328,1.86681,0.0014588,0.0014588,0.0014588
84,387.094,1.05078,1.77856,0.87466,1.20376,0.76658,0.68421,0.76535,0.42317,0.83303,0.73684,0.78323,0.38049,1.66327,3.03367,1.07891,1.72553,0.0014522,0.0014522,0.0014522
85,392.329,1.15676,1.89069,0.89346,1.29158,0.86528,0.67655,0.78968,0.49274,0.93254,0.72812,0.82128,0.37697,1.57805,3.59508,1.15047,1.75211,0.0014456,0.0014456,0.0014456
86,397.627,1.07696,1.78209,0.85219,1.21826,0.8286,0.76406,0.77543,0.46553,0.96728,0.78947,0.87725,0.3932,1.55545,3.36009,1.09901,1.75499,0.001439,0.001439,0.001439
87,402.245,1.08906,1.78683,0.83661,1.22375,0.82927,0.76766,0.73992,0.42445,0.88605,0.81921,0.83462,0.37773,1.61969,3.80897,0.98855,1.80767,0.0014324,0.0014324,0.0014324
88,406.777,1.05988,1.7713,0.82604,1.21856,0.82245,0.78947,0.78152,0.45544,0.92935,0.84211,0.83844,0.39458,1.53841,3.12368,0.99375,1.693,0.0014258,0.0014258,0.0014258
89,411.353,1.12951,1.80662,0.85477,1.2554,0.94066,0.83469,0.8187,0.43813,0.93849,0.80366,0.84939,0.39985,1.60868,2.66505,1.23137,1.79508,0.0014192,0.0014192,0.0014192
90,416.208,1.07686,1.83742,0.90037,1.23841,0.94057,0.83349,0.84697,0.51187,1,0.87909,0.92903,0.46305,1.54435,2.57235,0.94415,1.62533,0.0014126,0.0014126,0.0014126
