epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,261.469,0.59392,2.55845,0.87544,0.00317,0.95,0.28805,0.26185,0.45015,3.44976,0.77826,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333
2,512.816,0.51952,1.24885,0.86245,1,0.70559,0.96545,0.871,0.43611,2.48649,0.81281,0.00388159,0.00129386,0.00388159,0.00129386,0.00388159,0.00129386,0.00388159,0.00129386
3,756.044,0.50197,0.97371,0.84377,0.98425,0.985,0.9928,0.90302,0.43395,1.08733,0.81637,0.00572398,0.00190799,0.00572398,0.00190799,0.00572398,0.00190799,0.00572398,0.00190799
4,1081.48,0.46714,0.775,0.83471,0.99316,0.99,0.99412,0.91839,0.39458,0.67297,0.81594,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,1331.81,0.45307,0.65151,0.82415,0.99979,0.99,0.99471,0.92108,0.37459,0.55965,0.80937,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,1560.71,0.45407,0.58027,0.8337,0.99931,0.99,0.99471,0.92203,0.36521,0.48654,0.81092,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,1996.51,0.43397,0.519,0.82285,0.99984,0.995,0.995,0.92442,0.36121,0.44499,0.80791,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,2368.08,0.42908,0.48183,0.82825,0.995,0.9949,0.99495,0.9326,0.36227,0.42611,0.8093,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,3358.92,0.43381,0.45852,0.82818,1,0.99408,0.995,0.93087,0.36346,0.38351,0.80892,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,3586.22,0.41522,0.42457,0.82263,0.99964,0.995,0.995,0.92746,0.34723,0.36177,0.80557,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,4502.55,0.41316,0.4101,0.82373,0.99978,0.995,0.995,0.92863,0.36305,0.36155,0.80795,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,5961.78,0.41766,0.39864,0.82091,0.99962,0.995,0.995,0.92184,0.34893,0.36575,0.80808,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,6192.34,0.40488,0.38357,0.81997,0.99968,0.995,0.995,0.92703,0.35212,0.32711,0.80562,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,6419.91,0.41053,0.37376,0.81196,0.99966,0.995,0.995,0.92696,0.34323,0.32094,0.80191,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,6644.44,0.39696,0.35503,0.81506,0.99967,0.995,0.995,0.93648,0.34694,0.31691,0.80342,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,6874.01,0.40385,0.3584,0.81948,0.99965,0.995,0.995,0.93571,0.33979,0.3081,0.80181,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,7115.86,0.40741,0.34788,0.82357,0.99969,0.995,0.995,0.93894,0.33988,0.30503,0.80473,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,7366.31,0.4071,0.34745,0.81924,0.99961,0.995,0.995,0.94375,0.33786,0.31346,0.80064,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,7603.71,0.38334,0.33153,0.80548,0.99969,0.995,0.995,0.94429,0.32246,0.27976,0.79734,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,7841.56,0.37968,0.31697,0.81084,0.99975,0.995,0.995,0.95276,0.32546,0.28328,0.79721,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,8978.06,0.38773,0.31733,0.81556,0.99961,0.995,0.995,0.95622,0.32705,0.27629,0.79792,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,9218.73,0.37867,0.30988,0.81529,0.99966,0.995,0.995,0.94545,0.32704,0.27637,0.80024,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,9453.58,0.38064,0.3106,0.81359,0.9998,0.995,0.995,0.95097,0.31829,0.27205,0.79604,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,9702.31,0.3771,0.30448,0.80801,0.99972,0.995,0.995,0.94599,0.32264,0.26953,0.79619,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,9954.07,0.36476,0.29878,0.81161,0.99968,0.995,0.995,0.95109,0.31292,0.25639,0.79647,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
