epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,104.592,0.35815,0.28648,0.80655,0.99976,0.995,0.995,0.95365,0.31172,0.25712,0.79406,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,220.185,0.35936,0.28615,0.80965,0.99975,0.995,0.995,0.9529,0.31567,0.25399,0.79403,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,312.067,0.36029,0.28342,0.81074,0.99975,0.995,0.995,0.9621,0.31174,0.24593,0.79208,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,405.004,0.34498,0.26832,0.80698,1,0.99963,0.995,0.95661,0.30686,0.24459,0.79337,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,499.998,0.34742,0.26703,0.80048,1,0.99966,0.995,0.95406,0.31189,0.24294,0.79558,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,614.924,0.35443,0.26985,0.80714,1,0.99963,0.995,0.95764,0.30847,0.23639,0.79191,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,714.202,0.34078,0.262,0.79989,1,0.99964,0.995,0.9565,0.31415,0.24264,0.79282,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,806.387,0.34481,0.26237,0.80882,0.99973,0.995,0.995,0.96701,0.30324,0.23343,0.79125,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
28,66.995,0.37754,0.29912,0.81034,0.99973,0.995,0.995,0.95857,0.31323,0.25044,0.79497,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,149.765,0.36205,0.28885,0.81462,0.9997,0.995,0.995,0.95395,0.31211,0.2524,0.7935,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,239.482,0.35755,0.28003,0.80304,0.9997,0.995,0.995,0.95637,0.30821,0.24814,0.7939,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,337.42,0.36342,0.27981,0.80813,0.99977,0.995,0.995,0.95335,0.31092,0.24929,0.79311,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,431.891,0.36494,0.28255,0.80511,0.99971,0.995,0.995,0.95714,0.31424,0.24479,0.79508,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,517.658,0.35038,0.26937,0.80802,0.99974,0.995,0.995,0.95631,0.30795,0.24605,0.79341,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
